0|-1.35|-0.225|-0.24|-0.105|0.185|0.12|
0|-1.35|-0.225|-0.24|0.035|0.525|0.12|
0|-1.35|-0.225|-0.24|0.035|-0.235|0.12|
0|-1.35|-0.225|-0.24|0.035|-0.235|0.48|
0|-1.35|-0.225|-0.24|0.035|-0.235|-0.38|
0|-1.35|-0.225|-0.24|0.035|0.345|-0.38|
0|-1.35|-0.225|-0.24|0.035|-0.015|-0.38|
0|-1.35|-0.225|-0.24|0.035|-0.015|0.12|
0|-1.75|-0.225|-0.24|0.035|-0.015|0.12|
0|-1.75|0.555|-0.1|0.035|-0.015|0.12|
0|-1.75|0.555|-0.1|0.035|-0.015|0.12|
0|-1.75|-0.845|-0.1|0.035|-0.015|0.12|
0|-1.75|0.655|-0.1|0.035|-0.015|0.12|
0|-1.19|0.655|-0.1|0.035|-0.015|0.12|
0|-1.79|0.655|-0.1|0.035|-0.015|0.12|
0|-1.59|0.015|0.08|0.035|-0.015|0.12|
0|-1.59|0.415|0.08|0.035|-0.015|0.12|
0|-1.59|-0.685|0.08|0.035|-0.015|0.12|
0|-1.59|0.615|0.08|0.035|-0.015|0.12|
0|-1.59|-0.585|0.08|0.035|-0.015|0.12|
0|-1.59|0.455|0.08|0.035|-0.015|0.12|
